date,site,pm2.5,pm2.5_1,pm2.5_2,pm2.5_3,pm2.5_4,pm2.5_5,pm2.5_6,pm2.5_7
2026-03-10,kathmandu,71.88,77.37,79.68,79.2,78.63,79.82,78.53,76.65
2026-03-10,pokhara,58.74,60.27,63.06,63.13,62.64,62.87,59.77,56.87
2026-03-10,birgunj,71.45,85.06,87.75,87.0,86.15,87.37,85.65,83.29
2026-03-10,chitwan,66.03,67.0,68.1,67.46,67.45,69.21,68.82,67.96
